source_value,normalized_value,status
가전제품,가전제품,keep
건강/기호식품,건강/기호식품,keep
건강/뷰티/마사지,건강/뷰티/마사지,keep
경기관람,경기관람,keep
공연관람,공연관람,keep
교육/학원,교육/학원,keep
교통서비스,교통서비스,keep
외식,외식,keep
렌탈서비스,렌탈서비스,keep
문화서비스,문화서비스,keep
방문판매,방문판매,keep
방송/미디어,방송/미디어,keep
병원/의료,병원/의료,keep
분식,분식,keep
사무/교육용품,사무/교육용품,keep
서적/도서,서적/도서,keep
선물/완구,선물/완구,keep
세탁/가사서비스,세탁/가사서비스,keep
수리서비스,수리서비스,keep
수의업,수의업,keep
숙박,숙박,keep
스포츠/레져용품,스포츠/레져용품,keep
시스템/통신,시스템/통신,keep
악기/공예,악기/공예,keep
여행/유학대행,여행/유학대행,keep
유아용품,유아용품,keep
육류/회식,육류/회식,keep
음/식료품소매,음/식료품소매,keep
음식배달서비스,음식배달서비스,keep
의복/의류,의복/의류,keep
의약/의료품,의약/의료품,keep
인터넷쇼핑,인터넷쇼핑,keep
인테리어/가정용품,인테리어/가정용품,keep
일반스포츠,일반스포츠,keep
자동차/유지비,자동차/유지비,keep
자동차학원,자동차학원,keep
전시장,전시장,keep
제과/제빵/떡/케익,제과/제빵/떡/케익,keep
주점,주점,keep
취미/오락,취미/오락,keep
커피/음료,커피/음료,keep
패션잡화,패션잡화,keep
패스트푸드,패스트푸드,keep
학교,학교,keep
한식,외식,merge
화장품소매,화장품소매,keep
일반병원,병원/의료,merge
종합병원,병원/의료,merge
특화병원,병원/의료,merge
차량관리/부품,자동차/유지비,merge
차량관리/서비스,자동차/유지비,merge
차량판매,자동차/유지비,merge
연료판매,자동차/유지비,merge
유아교육,교육/학원,merge
입시학원,교육/학원,merge
외국어학원,교육/학원,merge
기술/직업교육학원,교육/학원,merge
예체능계학원,교육/학원,merge
독서실/고시원,교육/학원,merge
유흥주점,주점,merge
간이주점,주점,merge
고기요리,육류/회식,merge
닭/오리요리,육류/회식,merge
일식/수산물,외식,merge
별식/퓨전요리,외식,merge
양식,외식,merge
중식,외식,merge
부페,외식,merge
사우나/휴게시설,건강/뷰티/마사지,merge
미용서비스,건강/뷰티/마사지,merge
요가/단전/마사지,건강/뷰티/마사지,merge
종합소매점,제외,exclude
기타결제,제외,exclude
기타용품,제외,exclude
기타의료,제외,exclude
기타교육,제외,exclude
공공기관,제외,exclude
기업,제외,exclude
단체,제외,exclude
종교,제외,exclude
회비/공과금,제외,exclude
휴게소/대형업체,제외,exclude
가례서비스,제외,exclude
제조/도매,제외,exclude
전문서비스,제외,exclude
광고/인쇄/인화,제외,exclude
금융상품/서비스,제외,exclude
무점포서비스,제외,exclude
보안/운송,제외,exclude
부동산,제외,exclude
