age,sex,top2_category_pattern,original_count,balanced_count,sampling_action
3,M,외식 + 자동차/유지비,6,3,downsampled
3,F,외식 + 자동차/유지비,6,3,downsampled
10,M,외식 + 병원/의료,6,3,downsampled
10,F,외식 + 병원/의료,6,3,downsampled
7,M,자동차/유지비 + 외식,6,3,downsampled
6,F,자동차/유지비 + 외식,6,3,downsampled
6,M,자동차/유지비 + 외식,6,3,downsampled
5,M,자동차/유지비 + 외식,6,3,downsampled
4,M,자동차/유지비 + 외식,6,3,downsampled
8,M,자동차/유지비 + 외식,6,3,downsampled
9,F,병원/의료 + 외식,5,3,downsampled
8,F,병원/의료 + 외식,5,3,downsampled
2,M,외식 + 취미/오락,4,3,downsampled
9,M,외식 + 병원/의료,4,3,downsampled
5,F,교육/학원 + 외식,3,3,kept
2,F,외식 + 커피/음료,3,3,kept
2,F,외식 + 화장품소매,3,3,kept
4,F,교육/학원 + 병원/의료,3,3,kept
11,M,외식 + 병원/의료,2,3,upsampled
11,F,자동차/유지비 + 외식,2,3,upsampled
11,F,외식 + 음/식료품소매,2,3,upsampled
11,M,자동차/유지비 + 외식,2,3,upsampled
9,M,외식 + 자동차/유지비,2,3,upsampled
4,F,교육/학원 + 외식,2,3,upsampled
7,F,외식 + 자동차/유지비,2,3,upsampled
5,F,교육/학원 + 자동차/유지비,2,3,upsampled
7,F,자동차/유지비 + 외식,2,3,upsampled
1,M,분식 + 사무/교육용품,2,3,upsampled
2,M,외식 + 패스트푸드,2,3,upsampled
1,F,교육/학원 + 선물/완구,1,3,upsampled
1,F,교육/학원 + 사무/교육용품,1,3,upsampled
1,M,사무/교육용품 + 커피/음료,1,3,upsampled
1,M,서적/도서 + 건강/기호식품,1,3,upsampled
1,M,커피/음료 + 분식,1,3,upsampled
1,M,육류/회식 + 커피/음료,1,3,upsampled
1,F,외식 + 사무/교육용품,1,3,upsampled
1,F,사무/교육용품 + 음/식료품소매,1,3,upsampled
1,F,취미/오락 + 커피/음료,1,3,upsampled
1,F,커피/음료 + 화장품소매,1,3,upsampled
4,F,교육/학원 + 자동차/유지비,1,3,upsampled
5,F,교육/학원 + 병원/의료,1,3,upsampled
7,F,자동차/유지비 + 병원/의료,1,3,upsampled
7,F,병원/의료 + 자동차/유지비,1,3,upsampled
8,F,병원/의료 + 음/식료품소매,1,3,upsampled
9,F,외식 + 병원/의료,1,3,upsampled
11,F,음/식료품소매 + 외식,1,3,upsampled
11,F,외식 + 육류/회식,1,3,upsampled
11,M,외식 + 자동차/유지비,1,3,upsampled
11,M,음/식료품소매 + 의약/의료품,1,3,upsampled
