month,age,sex,cluster,cluster_name,prob_C0,prob_C1,prob_C2,prob_C3,prob_C4,prob_C5,prob_C6,prob_C7
2508,11,F,0,장보기·의류형,0.2028,0.1139,0.1148,0.1261,0.1286,0.1323,0.0796,0.1018
2511,11,F,0,장보기·의류형,0.2215,0.1196,0.0965,0.1128,0.1354,0.1254,0.0793,0.1095
2507,1,M,1,사무·서적형,0.0955,0.1763,0.1055,0.1272,0.1427,0.1254,0.0971,0.1303
2508,1,F,1,사무·서적형,0.0992,0.1811,0.1045,0.121,0.1439,0.1254,0.09,0.1348
2508,1,M,1,사무·서적형,0.0938,0.2019,0.0965,0.1205,0.1403,0.1224,0.0932,0.1314
2509,1,F,1,사무·서적형,0.098,0.1798,0.1017,0.1318,0.1359,0.1229,0.108,0.1218
2509,1,M,1,사무·서적형,0.095,0.1797,0.1131,0.1279,0.1302,0.1212,0.0967,0.1363
2510,1,M,1,사무·서적형,0.1,0.172,0.1066,0.1262,0.1372,0.1249,0.1023,0.1308
2511,1,F,1,사무·서적형,0.1101,0.1868,0.0959,0.1197,0.1419,0.1265,0.091,0.128
2511,1,M,1,사무·서적형,0.0982,0.1788,0.1053,0.1287,0.1409,0.1269,0.0981,0.1232
2512,1,F,1,사무·서적형,0.0971,0.1758,0.1046,0.1246,0.1434,0.1227,0.1189,0.1129
2507,2,F,2,화장품·커피형,0.0957,0.1152,0.2067,0.15,0.1155,0.1307,0.0755,0.1106
2507,2,M,2,화장품·커피형,0.0965,0.1154,0.2145,0.1437,0.1144,0.1294,0.0825,0.1037
2507,3,M,2,화장품·커피형,0.0926,0.1179,0.1956,0.1618,0.1237,0.1395,0.0697,0.0993
2508,2,F,2,화장품·커피형,0.0949,0.1129,0.2177,0.1479,0.1141,0.1281,0.0749,0.1094
2508,2,M,2,화장품·커피형,0.0904,0.11,0.2459,0.1463,0.1102,0.126,0.0741,0.0972
2508,3,F,2,화장품·커피형,0.0915,0.1078,0.1873,0.1814,0.1149,0.1491,0.0688,0.0991
2508,3,M,2,화장품·커피형,0.0906,0.1137,0.2128,0.1607,0.1194,0.1371,0.0686,0.097
2509,2,F,2,화장품·커피형,0.1008,0.1198,0.1893,0.143,0.1214,0.1281,0.0809,0.1168
2509,2,M,2,화장품·커피형,0.0948,0.1139,0.232,0.1399,0.1152,0.1244,0.0782,0.1017
2509,3,F,2,화장품·커피형,0.093,0.1133,0.1771,0.1719,0.1223,0.1503,0.0693,0.1029
2509,3,M,2,화장품·커피형,0.0936,0.1188,0.1937,0.1592,0.1261,0.1387,0.0697,0.1003
2510,2,F,2,화장품·커피형,0.0969,0.1132,0.2078,0.1482,0.1145,0.1311,0.0781,0.1103
2510,2,M,2,화장품·커피형,0.0912,0.1097,0.242,0.1452,0.1106,0.1259,0.0768,0.0987
2510,3,M,2,화장품·커피형,0.0944,0.1174,0.1975,0.1591,0.1241,0.1383,0.0694,0.0998
2511,2,F,2,화장품·커피형,0.0997,0.1127,0.216,0.1432,0.1144,0.1264,0.0777,0.1099
2511,2,M,2,화장품·커피형,0.0943,0.1119,0.2382,0.1445,0.1126,0.1256,0.0745,0.0984
2511,3,M,2,화장품·커피형,0.0953,0.1192,0.1895,0.1592,0.1269,0.1397,0.0696,0.1006
2512,2,F,2,화장품·커피형,0.0988,0.1119,0.2201,0.1417,0.1131,0.1243,0.0797,0.1103
2512,2,M,2,화장품·커피형,0.0977,0.1128,0.2199,0.1461,0.1134,0.1281,0.0803,0.1016
2512,3,M,2,화장품·커피형,0.0953,0.1208,0.182,0.1602,0.1287,0.1405,0.0704,0.1022
2507,3,F,3,차량·생활이동형,0.0919,0.1114,0.1621,0.1907,0.1194,0.1551,0.0689,0.1006
2507,4,F,3,차량·생활이동형,0.0885,0.1157,0.1248,0.2162,0.1223,0.1642,0.0726,0.0958
2507,4,M,3,차량·생활이동형,0.0883,0.1165,0.1339,0.2087,0.1287,0.1621,0.0675,0.0943
2507,5,F,3,차량·생활이동형,0.0924,0.1208,0.1397,0.1879,0.1283,0.155,0.0764,0.0996
2507,5,M,3,차량·생활이동형,0.0856,0.1191,0.1283,0.2138,0.1299,0.1605,0.0694,0.0933
2507,6,F,3,차량·생활이동형,0.0908,0.1115,0.1213,0.2046,0.1299,0.1843,0.0659,0.0917
2507,6,M,3,차량·생활이동형,0.0904,0.1209,0.1289,0.1992,0.1357,0.16,0.07,0.095
2507,7,M,3,차량·생활이동형,0.0946,0.1252,0.1161,0.1772,0.1477,0.172,0.0706,0.0966
2508,4,F,3,차량·생활이동형,0.0885,0.1126,0.1337,0.2152,0.1183,0.1645,0.0722,0.095
2508,4,M,3,차량·생활이동형,0.0888,0.1124,0.1425,0.2096,0.122,0.1614,0.0692,0.0941
2508,5,F,3,차량·생활이동형,0.0856,0.1142,0.1312,0.2218,0.1228,0.163,0.0688,0.0926
2508,5,M,3,차량·생활이동형,0.0857,0.1161,0.1364,0.2127,0.1255,0.1618,0.0693,0.0926
2508,6,F,3,차량·생활이동형,0.0906,0.111,0.1212,0.2032,0.1294,0.1868,0.0657,0.092
2508,6,M,3,차량·생활이동형,0.0901,0.1206,0.1284,0.1978,0.135,0.1619,0.0706,0.0956
2508,7,M,3,차량·생활이동형,0.0928,0.1216,0.1179,0.1894,0.1414,0.1712,0.0703,0.0954
2509,4,F,3,차량·생활이동형,0.0875,0.1156,0.1259,0.2155,0.1226,0.1678,0.0705,0.0947
2509,4,M,3,차량·생활이동형,0.0881,0.115,0.1379,0.2089,0.1276,0.162,0.0669,0.0935
2509,5,F,3,차량·생활이동형,0.0872,0.118,0.1203,0.2146,0.1282,0.1671,0.0699,0.0947
2509,5,M,3,차량·생활이동형,0.0862,0.1204,0.1259,0.2092,0.1321,0.1625,0.0695,0.0942
2509,6,M,3,차량·생활이동형,0.0918,0.1247,0.1267,0.1834,0.1419,0.1632,0.071,0.0973
2509,7,M,3,차량·생활이동형,0.0942,0.125,0.1167,0.1765,0.1484,0.1724,0.0705,0.0965
2510,3,F,3,차량·생활이동형,0.0936,0.1102,0.176,0.1822,0.1182,0.1508,0.0685,0.1006
2510,4,F,3,차량·생활이동형,0.0912,0.1121,0.1482,0.2032,0.1171,0.1598,0.0731,0.0953
2510,4,M,3,차량·생활이동형,0.0901,0.1118,0.1638,0.1963,0.1219,0.1553,0.0677,0.0931
2510,5,F,3,차량·생활이동형,0.0898,0.1135,0.148,0.2035,0.1213,0.1599,0.0703,0.0936
2510,5,M,3,차량·생활이동형,0.0876,0.1149,0.1529,0.2007,0.124,0.1573,0.0698,0.0929
2510,6,F,3,차량·생활이동형,0.0941,0.1103,0.1232,0.2011,0.1299,0.1843,0.0654,0.0918
2510,6,M,3,차량·생활이동형,0.0913,0.1195,0.1316,0.1981,0.1343,0.16,0.07,0.0952
2510,7,M,3,차량·생활이동형,0.095,0.1212,0.1235,0.1807,0.1422,0.1726,0.0696,0.0952
2511,3,F,3,차량·생활이동형,0.094,0.1123,0.169,0.1824,0.1212,0.1495,0.0691,0.1024
2511,4,F,3,차량·생활이동형,0.0904,0.1145,0.1355,0.2083,0.1212,0.1638,0.0716,0.0948
2511,4,M,3,차량·생활이동형,0.0903,0.1141,0.1394,0.2068,0.1267,0.1626,0.0669,0.0933
2511,5,F,3,차량·생활이동형,0.0893,0.1159,0.1285,0.2117,0.1257,0.1649,0.0701,0.0939
2511,5,M,3,차량·생활이동형,0.0873,0.116,0.1326,0.2122,0.1275,0.1637,0.0686,0.0921
2511,6,F,3,차량·생활이동형,0.0948,0.1112,0.1208,0.1976,0.1317,0.1867,0.0654,0.0918
2511,6,M,3,차량·생활이동형,0.0936,0.1234,0.1298,0.1835,0.1414,0.1618,0.0701,0.0963
2511,7,M,3,차량·생활이동형,0.0966,0.1239,0.1169,0.1764,0.1478,0.173,0.0697,0.0956
2512,3,F,3,차량·생활이동형,0.0948,0.1132,0.1638,0.1831,0.1222,0.1489,0.0696,0.1044
2512,4,F,3,차량·생활이동형,0.0897,0.1182,0.1228,0.2118,0.1254,0.1638,0.0718,0.0965
2512,4,M,3,차량·생활이동형,0.0896,0.1186,0.1278,0.2063,0.1327,0.1613,0.0679,0.0958
2512,5,F,3,차량·생활이동형,0.0901,0.1176,0.1283,0.2092,0.127,0.1613,0.0712,0.0953
2512,5,M,3,차량·생활이동형,0.0867,0.1191,0.1251,0.2152,0.1315,0.1603,0.0688,0.0933
2512,6,M,3,차량·생활이동형,0.094,0.1243,0.1298,0.1816,0.1422,0.1598,0.0707,0.0974
2512,7,M,3,차량·생활이동형,0.0955,0.127,0.1156,0.1741,0.1528,0.1668,0.0705,0.0976
2507,11,F,4,외식·생활관리형,0.1118,0.1472,0.1002,0.1298,0.1737,0.14,0.0805,0.1168
2507,11,M,4,외식·생활관리형,0.097,0.1423,0.1013,0.146,0.1795,0.1486,0.0768,0.1086
2508,11,M,4,외식·생활관리형,0.0955,0.1441,0.0973,0.1396,0.191,0.1485,0.0757,0.1083
2509,11,F,4,외식·생활관리형,0.1089,0.1345,0.1083,0.1325,0.1896,0.1471,0.075,0.1043
2509,11,M,4,외식·생활관리형,0.1042,0.1329,0.1041,0.1319,0.1892,0.1444,0.0814,0.1119
2510,11,F,4,외식·생활관리형,0.1068,0.1383,0.1007,0.1344,0.1859,0.1534,0.076,0.1045
2510,11,M,4,외식·생활관리형,0.1065,0.1344,0.1011,0.1294,0.1798,0.1456,0.0962,0.107
2511,11,M,4,외식·생활관리형,0.106,0.1371,0.0966,0.1286,0.195,0.1486,0.0752,0.1129
2512,11,F,4,외식·생활관리형,0.1293,0.1355,0.1071,0.1271,0.1744,0.1384,0.0777,0.1104
2512,11,M,4,외식·생활관리형,0.0998,0.1404,0.0947,0.1324,0.2055,0.149,0.076,0.1022
2507,7,F,5,의료·의약품 중심형,0.0964,0.1123,0.1098,0.1786,0.1359,0.209,0.0662,0.0918
2507,8,F,5,의료·의약품 중심형,0.0987,0.1148,0.1054,0.1565,0.1429,0.2224,0.0666,0.0926
2507,8,M,5,의료·의약품 중심형,0.1048,0.1285,0.1187,0.1528,0.1473,0.162,0.0811,0.1047
2507,9,F,5,의료·의약품 중심형,0.0982,0.1156,0.1042,0.1525,0.1445,0.2234,0.0679,0.0936
2507,9,M,5,의료·의약품 중심형,0.1047,0.1248,0.119,0.1514,0.1471,0.1707,0.0791,0.1032
2507,10,F,5,의료·의약품 중심형,0.097,0.1156,0.1067,0.1678,0.148,0.2019,0.0684,0.0945
2507,10,M,5,의료·의약품 중심형,0.1057,0.1215,0.1081,0.1597,0.1521,0.1785,0.0736,0.1008
2508,7,F,5,의료·의약품 중심형,0.0944,0.1121,0.1099,0.1804,0.1366,0.2099,0.0652,0.0914
2508,8,F,5,의료·의약품 중심형,0.0979,0.1127,0.1071,0.1689,0.1388,0.2166,0.0663,0.0917
2508,8,M,5,의료·의약품 중심형,0.0953,0.1246,0.1123,0.1718,0.1544,0.1776,0.0692,0.0948
